"property","title","description"
"","वेब अनुप्रयोग","वेब अनुप्रयोग की जानकारी"
"dcmWebAppName","वेब अनुप्रयोग का नाम","वेब अनुप्रयोग का नाम"
"dicomNetworkConnectionReference","वेब अनुप्रयोग नेटवर्क संपर्क","नेटवर्क संपर्क जिनपे वेब अनुप्रयोग की सेवाए उपलब्ध है"
"dicomDescription","वेब अनुप्रयोग का वर्णन","वेब अनुप्रयोग का स्वैच्छिक विषय वर्णन"
"dcmWebServicePath","वेब सेवा पथ","वेब अनुप्रयोग के सेवा का एच टी टी पी पथ"
"dcmWebServiceClass","वेब सेवा क्लास","वेब अनुप्रयोग द्वारा उपलब्ध कराये गए वेब सेवा क्लासेस"
"dcmKeycloakClientID","कीक्लोक क्लाइंट आई.डी.","वेब अनुप्रयोग का कीक्लोक क्लाइंट आई.डी."
"dicomAETitle","एइ का नाम","इस वेब अनुप्रयोग से सम्बंधित नेटवर्क एइ का नाम"
"dicomApplicationCluster","अनुप्रयोग कुंज","संबंधित अनुप्रयोगों के सबसेट के लिए स्थानीय रूप से परिभाषित की गए नाम"
"dcmProperty","गुण","गुण इस फॉर्मेट में <नाम>=<मूल्य>. उदाहरण के तौर पे: roles=<accepted-user-role>[,...], IID_PATIENT_URL=http(s)://<viewer-host>:<viewer-port>/IHEInvokeImageDisplay?requestType=PATIENT&patientID={{patientID}} या IID_STUDY_URL=http(s)://<viewer-host>:<viewer-port>/IHEInvokeImageDisplay?requestType=STUDY&studyUID={{studyUID}}, ( अन्य सही मापदण्ड : 'patientBirthDate' और 'accessionNumber' है) , 'IID_URL_TARGET=_blank|_self' मापदण्ड लागू करके आप यूआरएल के लक्ष्य को परिभाषित कर सकते है"
"dicomInstalled","स्थापित","'हाँ' पे क्लिक करें अगर यह वेब अनुप्रयोग इस नेटवर्क पे स्थापित है. अगर अनुपलभ्य हो तो, वेब अनुप्रयोग की स्थापित स्थिति की जानकारी को डिवाइस से प्राप्त किया जाएगा"
