"property","title","description"
"","UPS Processing Rule","Process matching Workitems in unified Worklist"
"dcmUPSProcessingRuleID","UPS Processing Rule ID","ID of UPS Processing Rule"
"dicomAETitle","Application Entity (AE) title","Application Entity (AE) title"
"dcmURI","UPS Processor URI","Identifies UPS Processor for processing matching Workitems"
"dcmProperty","Processing Property","UPS Processor dependent property इस फॉर्मेट में <नाम>=<मूल्य>"
"dcmSchedule","Processing Schedule","Delay processing to specified time periods. If no Processing Schedule is specified, process Workitems at their Scheduled Procedure Step Start Date Time (0040,4005). Format: 'hour=[0-23] dayOfWeek=[0-6]' (0=Sunday)"
"dcmMaxThreads","Maximum Number of Threads","Maximal number of threads used for processing of matching Workitems."
"dcmUPSInputReadinessState","Input Readiness State","Process Workitems with matching Input Readiness State (0040,4041)."
"dcmUPSPriority","Priority","Process Workitems with matching Scheduled Procedure Step Priority (0074,1200). If absent, process Workitems of any priority, but order the processing according their priority."
"dcmUPSLabel","Procedure Step Label","Process Workitems with matching Procedure Step Label (0074,1204). If absent, process Workitems with any Procedure Step Label."
"dcmUPSWorklistLabel","Worklist Label","Process Workitems with matching Worklist Label (0074,1202). If absent, process Workitems with any Worklist Label."
"dcmUPSScheduledWorkitemCode","Scheduled Workitem Code","Process Workitems with matching Code in Scheduled Workitem Code Sequence (0040,4018) इस फॉर्मेट में (CV, CSD, ""CM""). If absent, process Workitems with any Scheduled Workitem Code."
"dcmUPSScheduledStationNameCode","Scheduled Station Name Code","Process Workitems with matching Code in Scheduled Station Name Code Sequence (0040,4025) इस फॉर्मेट में (CV, CSD, ""CM""). If absent, process Workitems with any Scheduled Station Name Code."
"dcmUPSScheduledStationClassCode","Scheduled Station Class Code","Process Workitems with matching Code in Scheduled Station Name Class Sequence (0040,4026) इस फॉर्मेट में (CV, CSD, ""CM""). If absent, process Workitems with any Scheduled Station Class Code."
"dcmUPSScheduledStationLocationCode","Scheduled Station Gउदाहरण के तौर पेaphic Location Code","Process Workitems with matching Code in Scheduled Station Gउदाहरण के तौर पेaphic Location Class Sequence (0040,4027) इस फॉर्मेट में (CV, CSD, ""CM""). If absent, process Workitems with any Scheduled Station Gउदाहरण के तौर पेaphic Location Code."
"dcmUPSPerformedWorkitemCode","Performed Workitem Code","Item of Performed Workitem Code Sequence (0040,4019) in processed UPS इस फॉर्मेट में (CV, CSD, ""CM"")."
"dcmUPSPerformedStationNameCode","Performed Station Name Code","Item of Performed Station Name Code Sequence (0040,4028) in processed UPS इस फॉर्मेट में (CV, CSD, ""CM"")."
"dcmUPSIgnoreDiscontinuationReasonCode","Ignore Discontinuation Reason Code","Specifies Discontinuation Reason Code in format (CV, CSD, ""CM"") to ignore and change UPS State to COMPLETED - instead to CANCELED."
"dcmUPSRescheduleDiscontinuationReasonCode","Reschedule Discontinuation Reason Code","Specifies Discontinuation Reason Code in format (CV, CSD, ""CM"") to reschedule the canceled UPS. If absent, UPS canceled with any Discontinuation Reason Code with be rescheduled according specified Maximum Number of Rescheduling."
"dcmMaxRetries","Maximum Number of Rescheduling","Maximal number a Workitem which processing failed is rescheduled."
"dcmRetryDelay","Reschedule Delay","Delay to reschedule a Workitem which processing failed in आई.एस.ओ.-८६०१ कलविधि फॉर्मेट PnDTnHnMn.nS में."
"dcmMaxRetryDelay","Maximum Reschedule Delay","Maximal Delay to reschedule a Workitem which processing failed in आई.एस.ओ.-८६०१ कलविधि फॉर्मेट PnDTnHnMn.nS में. Infinite if absent."
"dcmRetryDelayMultiplier","Reschedule Delay Multiplier","Multiplier in % that will take effect on top of Reschedule Delay with Maximum Reschedule Delay to be taken into account."
