"property","title","description"
"","ऑडिट अधीन मानदण्ड","ऑडिट अधीन मानदण्ड ।"
"cn","नाम","ऑडिट अधीन मानदण्ड का मनमाना सार्थक नाम ।"
"dcmAuditEventID","ऑडिट घटना ID","RFC 3881 ऑडिट घटना ID कोड और कोड सिस्टम का नाम इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmAuditEventTypeCode","ऑडिट घटना प्रकार कोड","RFC 3881 ऑडिट घटना प्रकार कोड इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmAuditEventActionCode","घटना प्रक्रिया कोड","RFC 3881 ऑडिट घटना प्रक्रिया प्रकार कोड ।"
"dcmAuditEventOutcomeIndicator","घटना परिणाम सूचक","RFC 3881 ऑडिट घटना परिणाम सूचक ।"
"dcmAuditUserID","उपभोक्ता ID","RFC 3881 ऑडिट सक्रिय सहभागी उपभोक्ता ID ।"
"dcmAuditAlternativeUserID","वैकल्पिक उपभोक्ता ID","RFC 3881 ऑडिट सक्रिय सहभागी वैकल्पिक उपभोक्ता ID ।"
"dcmAuditUserRoleIDCode","उपभोक्ता भूमिका ID कोड","RFC 3881 ऑडिट सक्रिय सहभागी उपभोक्ता भूमिका ID कोड इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmAuditNetworkAccessPointID","नेटवर्क ऐक्सेस अंक ID","RFC 3881 ऑडिट सक्रिय सहभागी नेटवर्क ऐक्सेस अंक ID ।"
"dcmAuditUserIsRequestor","उपभोक्ता आरंभकर्ता है","सक्रिय सहभागी RFC 3881 में निर्दिष्ट ऑडिट घटना का आरंभकर्ता है या नहीं यह संकेत करता है ।"
