"property","title","description"
"","निर्यातक वर्णनकर्ता","निर्यातक वर्णनकर्ता ।"
"dcmExporterID","निर्यातक आई.डी. (ID)","निर्यातक आई.डी. (ID) ।"
"dcmURI","यू.आर.आई. (URI)","आर.एफ.सी.२०७९ (RFC2071) : समान संसाधन पहचानकर्ता ।"
"dcmQueueName","कतार का नाम","जे.एम्.एस. (JMS) कतार का नाम ।"
"dcmExportPriority","निर्यातक प्राथमिकता","निर्यात कार्य के प्रक्रिया के लिए जे.एम्.एस. (JMS) प्राथमिकता स्तर : ० (न्यूतनम) से ९ (अधिकतम) तक ।"
"dicomDescription","निर्यातक का वर्णन","निर्यातक का स्वैच्छिक विषय वर्णन ।"
"dicomAETitle","अनुप्रयोग तत्त्व ए.इ. (AE) का नाम","अनुप्रयोग तत्त्व ए.इ. (AE) का नाम ।"
"dcmExportAsSourceAE","स्रोत अनुप्रयोग तत्व (AE) के रूप में निर्यात करें","गंतव्य अनुप्रयोग तत्व (AE) से संपर्क साधते वक्त आर्काइव अनुप्रयोग तत्व (AE) के नाम को सीरीज प्राप्त हुए अनुप्रयोग तत्व (AE) के नाम से मुखौटित करें ।"
"dcmDeleteStudyFromStorageID","स्टोरेज सिस्टम से स्टडी मिटाए","स्टोरेज सिस्टम का आई.डी. (ID) जहा से निर्यात हुए स्टडी के दृष्टांतों को मिटाया जाएगा ।सिर्फ प्रभावशाली जब निर्यात कार्य स्टडी स्तर पे है ।"
"dcmRejectForDataRetentionExpiry","डेटा धारण समाप्ति के लिए तत्व को अस्वीकृत करें","निर्यात कार्य के समाप्ति पे निर्यात के बाद, डेटा धारण समाप्ति के लिए तत्व को अस्वीकृत करें ।"
"dcmStgCmtSCP","स्टोरेज प्रतिबद्धता एस.सी.पी. (SCP) ए.इ. (AE) का नाम","दूसरे आर्काइव पे निर्यात को जांचने के लिए उपयोग किया गया बाहरी स्टोरेज प्रतिबद्धता एस.सी.पी. (SCP) ए.इ. (AE) का नाम ।"
"dcmIanDestination","आई.ए.एन. (IAN) गंतव्य","आई.ए.एन. एन-क्रिएट (IAN N-CREATE) अनुरोध भेजने के लिए गंतव्य ।"
"dcmRetrieveAET","प्राप्ति ए.इ. (AE) का नाम","इस नेटवर्क ए.इ. से सम्बंधित ए.इ. (AE) का नाम ।"
"dcmRetrieveLocationUID","पुनःप्राप्ति स्थान का यू.आई.डी. (UID)","पुनःप्राप्ति स्थान का यू.आई.डी. (UID) ।"
"dcmInstanceAvailability","दृष्टांतों की उपलब्धता","दृष्टांतों की उपलब्धता ।"
"dcmSchedule","निर्यात अनुसूची","निर्यात को अनुसूचित समय में करें ।यदि कोई निर्यात अनुसूची निर्दिष्ट नहीं किया है, तो तुरंत ही निर्यात कार्यों पे प्रक्रिया करने के लिए कतार में डाले ।प्रारूप : 'hour=[0-23] dayOfWeek=[0-6]' (0=Sunday) ।"
"dcmProperty","गुण","गुण इस प्रारूप में <नाम>=<मूल्य> ।"
