"property","title","description"
"","नेटवर्क संपर्क एक्सटेंशन","डीसीएम्४ची मालिकाना नेटवर्क संपर्क के गुण ।"
"dcmProtocol","प्रोटोकॉल","नेटवर्क संपर्क का प्रोटोकॉल ।"
"dcmHTTPProxy","एच.टी.टी.पी. प्रॉक्सी","एच.टी.टी.पी. प्रॉक्सी : [user:password@]host:port ।"
"dcmTLSNeedClientAuth","टी.एल.एस. क्लाइंट प्रमाणीकरण ज़रूरी","संकेत करता है की, टी.एल.एस. क्लाइंट प्रमाणीकरण ज़रूरी है ।"
"dcmTLSProtocol","टी.एल.एस. प्रोटोकॉल","समर्थित टी.एल.एस. प्रोटोकॉल ।"
"dcmTCPBacklog","टी.सी.पी. बैकलॉग","आनेवाले टी.सी.पी. संपर्कों के लिए अधिकतम कतार की लम्बाई ।० = असीमित ।"
"dcmTCPConnectTimeout","टी.सी.पी. संपर्क समय","मिलीसेकण्डों में टी.सी.पी. संपर्क समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmTCPCloseDelay","टी.सी.पी. बंद करने का विलम्ब","A-ASSOCIATE-RJ, A-RELEASE-RP या A-ABORT PDU को भेजने के बाद टी.सी.पी. सॉकेट को बंद करने के लिए मिलीसेकण्डों में विलम्ब ।"
"dcmTCPSendBufferSize","टी.सी.पी. भेजे गए बफर का माप","टी.सी.पी. भेजे गए बफर का माप; यदि निर्दिष्ट नहीं किया है, तो सिस्टम डिफॉल्ट्स का उपयोग करें ।"
"dcmTCPReceiveBufferSize","टी.सी.पी. बफर प्राप्ति का माप","टी.सी.पी. बफर प्राप्ति का माप; यदि निर्दिष्ट नहीं किया है, तो सिस्टम डिफॉल्ट्स का उपयोग करें ।"
"dcmTCPNoDelay","टी.सी.पी. विलम्ब नहीं","टी.सी.पी. विलम्ब नहीं को सक्षम या असक्षम करें (Nagle अल्गोरिथम को सक्षम या असक्षम करें ) ।"
"dcmBindAddress","बांधने का पता","सुननेवाले सॉकेट को बांधने का पता; यदि निर्दिष्ट नहीं किया है, तो संपर्क के मेज़बान का नाम का उपयोग करें ।"
"dcmClientBindAddress","क्लाइंट को बांधने का पता","बहार जानेवाले संपर्कों को बांधने का पता; यदि निर्दिष्ट नहीं किया है, तो संपर्क के मेज़बान का नाम का उपयोग करें ।"
"dcmBlacklistedHostname","कालीसूची में डाले हुए मेज़बान के नाम","कालीसूची में डाले हुए डी.एन.एस. मेज़बान के नाम ।"
"dcmSendPDULength","भेजे हुए PDUs की लम्बाई","भेजे हुए PDUs की अधिकतम लम्बाई ।"
"dcmReceivePDULength","PDU प्राप्ति की लम्बाई","PDUs प्राप्ति की अधिकतम लम्बाई ।"
"dcmMaxOpsPerformed","अधिकतम कार्य संपादित","कार्यों को अतुल्यकालिक रूप से संपादित करने की अधिकतम संख्या; ० = अनन्त ।"
"dcmMaxOpsInvoked","अधिकतम कार्य लागू","कार्यों को अतुल्यकालिक रूप से लागू करने की अधिकतम संख्या; ० = अनन्त ।"
"dcmPackPDV","PDV पैक करें","एक P-DATA-TF PDU में कमांड और डेटा PDVs को पैक करने में सक्षम या असक्षम करें ।"
"dcmAARQTimeout","AA-RQ समय","टी.सी.पी. संपर्क के बाद A-ASSOCIATE-RQ PDU को प्राप्त करने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmAAACTimeout","AA-AC समय","A-ASSOCIATE-RQ PDU के भेजने के बाद A-ASSOCIATE-AC PDU को प्राप्त करने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmARRPTimeout","AR-RP समय","A-RELEASE-RQ PDU के भेजने के बाद A-RELEASE-RP PDU को प्राप्त करने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmSendTimeout","भेजने का समय","सी-स्टोर अनुरोधों के अलावा अन्य डिमसे अनुरोधों को भेजने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmStoreTimeout","संचय समय","सी-स्टोर अनुरोधों को भेजने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmResponseTimeout","प्रतिक्रिया समय","सी-गेट या सी-मूव प्रतिक्रियाओं के अलावा अन्य डिमसे प्रतिक्रियाओं को प्राप्त करने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmRetrieveTimeout","पुनःप्राप्ति समय","शेष सी-गेट या सी-मूव प्रतिक्रियाओं को प्राप्त करने के लिए मिलीसेकण्डों में समय; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
"dcmRetrieveTimeoutTotal","संपूर्ण पुनःप्राप्ति समय","शेष सी-गेट और सी-मूव प्रतिक्रियाओं को अनिर्णीत प्रतिक्रियाओं के प्राप्ति पे निर्दिष्ट समय के समयपाल को पुनःप्रारंभ किया जाएगा (=false) या नहीं (=true) ।"
"dcmIdleTimeout","निष्क्रिय समय","निर्दिष्ट समय (मिलीसेकण्डों में) के बाद निष्क्रिय संपर्कों को बंद करने संकेत करता है; निर्दिष्ट नहीं किया है, तो कोई समय लागू नहीं होगा ।"
